source,a,target,b,relationship,from,editedQuote
38,Claudia Bach,48,Shannon Halberstadt,Mentorship,Shannon Halberstadt,"I first met here ... when I was working at Vera. She since encouraged me to participate in Leadership Tomorrow, has invited me to several presentation opportunities, and connected me with tons of people."
38,Claudia Bach,50,Vivian Phillips,Mentorship,Vivian Phillips,"My ongoing, forever touchstone in the arts.  Smartest woman in the arts environment."
69,Davida Ingram,98,Chieko Phillips,Collaborator,,
69,Davida Ingram,99,Elisheba Johnson,Collaborator,,
69,Davida Ingram,7,Jo-Anne Birnie Danzker,Collaborator,,
69,Davida Ingram,85,Mo Avery,Collaborator,,
69,Davida Ingram,61,Sharon Arnold,Collaborator,,
69,Davida Ingram,90,Susie J. Lee,Collaborator,,
69,Davida Ingram,62,Tariqa Waters,Collaborator,,
69,Davida Ingram,53,Zola Mumford,Collaborator,,
58,Diana Adams,117,Lorrie Scott Cardoso,Collaborator,,
57,Beth Cullom,58,Diana Adams,Mentor-Peer,,
58,Diana Adams,93,Davora Lindner,Collaborator,,
58,Diana Adams,60,Mariane Ibrahim,Collaborator,,
39,Diane Shamash,47,Ruri Yampolsky,Mentorship,Ruri Yampolsky,(She) was the person who hired me into public art.
100,Ellen Ferguson,24,Beth Takekawa,Mentor,,
59,Francine Seders,77,Juliana Heyne,Mentorship,Francine Seders,"A painter, she started late in her career having raised five kids. I started to represent her in 1978 until I closed the gallery."
59,Francine Seders,81,Lauri Chambers,Mentorship,,
59,Francine Seders,111,Patricia Scott,Mentorship,,
58,Diana Adams,34,Robin Held,Colleague,,
5,Ida Cole,50,Vivian Phillips,Mentorship,Vivian Phillips,"Working with her showed me a whole other side of arts philanthropy and she remains a great friend and mentor, today!"
6,Irene Hirano Inouye,24,Beth Takekawa,Mentor,,
74,Ivana Kartzov,61,Sharon Arnold,Mentor-Peer,Sharon Arnold,"Ivana and I met outside the art world, through mutual friends about a year before she was accepted into Cornish. She just graduated this year. She's been such a great assistant to me and so many other folks in Seattle's art world but also she's someone I've always wanted to encourage to go the distance because she's insightful, hard-working, and passionate."
7,Jo-Anne Birnie Danzker,56,Amanda Manitach,Mentorship,Amanda Manitach,"We haven't worked together much, but I've always admired her breadth of knowledge and experience and her intellectual generosity when it comes to connecting with the artists in this city. An opportunity to talk with her about art or life is a gift. "
7,Jo-Anne Birnie Danzker,69,Davida Ingram,Collaborator,,
7,Jo-Anne Birnie Danzker,76,Jessika Kenney,Collaborator,,
7,Jo-Anne Birnie Danzker,12,Kimerly Rorschach,Peer,,
7,Jo-Anne Birnie Danzker,109,Negarra Kudumu ,Peer,,
7,Jo-Anne Birnie Danzker,88,Rebecca Brown,Collaborator,,
7,Jo-Anne Birnie Danzker,90,Susie J. Lee,Collaborator,,
7,Jo-Anne Birnie Danzker,52,Zoe Scofield,Collaborator,,
26,Josi Callan,25,Rosanna Sharpe,Mentor,,
29,Julie Emerson ,28,Chiyo Ishikawa,Mentorship,Chiyo Ishikawa,Helped me when I got to town and became a close colleague.
30,Julie Lazar,34,Robin Held,Mentor,,
8,Julie Stein,21,Sylvia Wolf,Mentorship,Sylvia Wolf,"Was Co/Chair of the search committee when I was being considered for the Henry job. When I was hired she welcomed me, oriented me to the UW, and has been an ardent supporter ever since."
78,Kamisha Turner,67,Aramis Hamer,Mentorship,Aramis Hamer,"She's a phenomenal artist, she came out to speak at a location that we have called Black Dot, it's a co working space for black entrepreneurs on 23rd and Union. .. But she has incredible work, she works with acrylics, photography, water colors."
103,Karen Toering,69,Davida Ingram,Mentorship,,
9,Kate Becker,48,Shannon Halberstadt,Mentorship,Shannon Halberstadt,"Hired me at the Old Fire House in Redmond WA in an administrative support role, and then mentored me into leadership roles. "
10,Katharine Lee Reid,12,Kimerly Rorschach,Mentorship,Kimerly Rorschach,"[Anne d'Harnoncourt, Katharine Lee Reid, Mimi Gardner Gates] All women directors of major art museums who helped me along the way in matters large and small."
79,Kathryn Hightower ,67,Aramis Hamer,Mentorship,,
11,Kaywin Feldman ,20,Stephanie Stebich,Mentorship,Stephanie Stebich,(She) has helped me engage on a national level in the field by recruiting me first to the Board of the AAMD and more recently to the Board of the American Alliance of Museums.
104,Kim Richter,13,Mary Ann Prior,Mentor-Peer,Mary Ann Prior,Has been very helpful making introductions throughout the Seattle art scene.
12,Kimerly Rorschach,13,Mary Ann Prior,Mentor-Peer,,
64,Kirsten Anderson,56,Amanda Manitach,Mentorship,Amanda Manitach,"As a gallerist who has represented me, she's taught me a lot about the business of art, how to hold one's own as a woman in this industry. I've had male gallerists who were just cliches as far as being sexually and professionally inappropriate. Working with a powerful woman is the best!"
64,Kirsten Anderson,56,Amanda Manitach,Collaborator,,
64,Kirsten Anderson,61,Sharon Arnold,Mentor-Peer,,
64,Kirsten Anderson,89,Sierra Stinson,Collaborator,,
82,Laurie Hawkinson,47,Ruri Yampolsky,Mentorship,,
60,Mariane Ibrahim,62,Tariqa Waters,Mentorship,,
33,Maryan Ainsworth,28,Chiyo Ishikawa,Mentorship,,
14,Megan Jasper,48,Shannon Halberstadt,Mentorship,Shannon Halberstadt,"Modeled a very nice balance of hard work, passion, and humor."
43,Melissa Harris,45,Michelle Dunn Marsh,Mentorship,Michelle Dunn Marsh,"Recognised my business sense in addition to my creative inclinations, and negotiated to have me in the role of associate publisher (eventually co-publisher) of the magazine."
106,Michele Hasson,2,Barbara Earl Thomas,Mentorship,Barbara Earl Thomas,"Fundraiser par excellence who helped me and the entire staff with how we might think about fundraising. She demystified and revealed whatever secrets there are/were. She encouraged me, pushed and gave me honest feedback."
45,Michelle Dunn Marsh,97,Bridget Watson Payne,Mentorship,Michelle Dunn Marsh,"Now senior editor of art+design at Chronicle Books. I was her boss in 2008-10, though she trained me in my position. We set a goal of her getting to my title. She did."
45,Michelle Dunn Marsh,69,Davida Ingram,Mentor-Peer,,
45,Michelle Dunn Marsh,32,Elizabeth Brown,Mentor-Peer,,
45,Michelle Dunn Marsh,90,Susie J. Lee,Mentor-Peer,,
107,Micki Flowers,2,Barbara Earl Thomas,Mentorship,Barbara Earl Thomas,"She lent her time, financial resources, reputation and hands-on work to carry out the fundraising tasks that were absolutely necessary.  She encouraged me with her presence and by showing me how and why the smallest details matter.  "
16,Mimi Gardner Gates,28,Chiyo Ishikawa,Mentorship,,
16,Mimi Gardner Gates,12,Kimerly Rorschach,Mentorship,Kimerly Rorschach,"[Anne d'Harnoncourt, Katharine Lee Reid, Mimi Gardner Gates] All women directors of major art museums who helped me along the way in matters large and small."
16,Mimi Gardner Gates,19,Sandra Jackson-Dumont,Mentor,Sandra Jackson-Dumont,She hired me into a Deputy Director position at the Seattle Art Museum.
16,Mimi Gardner Gates,20,Stephanie Stebich,Mentorship,Stephanie Stebich,"I've known (her) for close to 30 years, beginning when she was Director of the Yale University Art Gallery. She was my first guide to my new NW art community from donors to colleagues and hosted a reception in my honor at SAM in spring 2005."
16,Mimi Gardner Gates,21,Sylvia Wolf,Mentorship,Sylvia Wolf,"Director of Seattle Art Museum when I arrived at the Henry in 2008. She welcomed my husband and me, introduced us to people in the region (art world and beyond), and has become a personal friend."
17,Mimi Gaudieri,20,Stephanie Stebich,Mentorship,Stephanie Stebich,She opened many doors for me as I was making my way in the field and deciding among different museum positions.
108,Minnie Collins,2,Barbara Earl Thomas,Mentorship,Barbara Earl Thomas,She showed me what a volunteer could do when bringing the full force of her profession to bear in her role as tour guide for hundreds of young people.
110,Patricia Failing,34,Robin Held,Mentor,,
34,Robin Held,40,Florangela Davila,Mentee,,
34,Robin Held,7,Jo-Anne Birnie Danzker,Peer,,
34,Robin Held,61,Sharon Arnold,Mentor-Peer,Sharon Arnold,"Robin has been a close friend and mentor, over the last few years. She's a strong supporter, but with the right amount of tough love when it's needed."
34,Robin Held,90,Susie J. Lee,Mentee,,
34,Robin Held,51,Yoko Ott,Mentee,,
25,Rosanna Sharpe,15,Michelle Bufano,Colleague,,
25,Rosanna Sharpe,45,Michelle Dunn Marsh,Colleague,,
25,Rosanna Sharpe,18,Patty Isacson Sabee,Colleague,,
25,Rosanna Sharpe,36,Susan Warner,Colleague,,
25,Rosanna Sharpe,92,Vicki Halper,Colleague,,
47,Ruri Yampolsky,71,Elizabeth Conner,Mentor-Peer,,
47,Ruri Yampolsky,44,Melissa Hines,Mentor-Peer,Ruri Yampolsky,"A colleague here in the Office of Arts & Culture, and whose dedication and commitment to the artistic community in this city is legendary."
47,Ruri Yampolsky,87,Norie Sato ,Mentor-Peer,,
47,Ruri Yampolsky,91,Vaughn Bell,Mentorship,,
19,Sandra Jackson-Dumont,2,Barbara Earl Thomas,Mentorship,Barbara Earl Thomas,"Museum professional and curator par-excellence — a museum whisperer who, even as she is quite younger that me — she helped me keep on track with my artwork — pushed me to think outside of my box, even as she was aware, of the museum job at hand. She never failed to introduce me as an artist, never flinched in that presentation which helped me remember to do the same."
19,Sandra Jackson-Dumont,69,Davida Ingram,Mentorship,,
19,Sandra Jackson-Dumont,62,Tariqa Waters,Mentorship,,
113,Serenity Wise,62,Tariqa Waters,Connection,,
48,Shannon Halberstadt,41,Kristina Goetz,Mentor,,
48,Shannon Halberstadt,42,Laura Becker,Mentor,,
48,Shannon Halberstadt,46,Nancy Chang,Mentor,,
61,Sharon Arnold,56,Amanda Manitach,Mentorship,Amanda Manitach,We came into the art scene in Seattle around the same time and we have always schemed and dreamed art and nerded out on similar topics like asemic writing and DIY art spaces and projects. I've watched her grow over the years and evolve into such a savvy gallerist. 
20,Stephanie Stebich,3,Belinda Tate,Mentorship,Stephanie Stebich,We exchange advice and perspectives in the field as younger women museum directors who pursue a social justice agenda in our museum work.
20,Stephanie Stebich,31,Laura Fry,Mentorship,Stephanie Stebich,"Selected her to take on a new collection area, assist with gallery design, and writing a collection catalogue. Supported her and grew her into a notable curator in her field. She's since gone to the Gilcrease Museum of Art."
20,Stephanie Stebich,13,Mary Ann Prior,Mentor-Peer,,
20,Stephanie Stebich,83,Mary Randlett,Mentorship,,
20,Stephanie Stebich,45,Michelle Dunn Marsh,Mentorship,Michelle Dunn Marsh,"I knew her when I was at Aperture. She sent me a handwritten note of congratulations when I was hired at PCNW, and offered her cell phone number and available/acceptable hours of contact should I need a friendly ear, guidance."
20,Stephanie Stebich,21,Sylvia Wolf,Mentor-Peer,Stephanie Stebich,Her board asked me to welcome and orient her to the NW. I reminded them that we are all invested in her success or they'd have to do another grueling search. She's at her 10 year mark now at the Henry. We've become fast friends and served on the AAMD Board together.
20,Stephanie Stebich,21,Sylvia Wolf,Mentor-Peer,Sylvia Wolf,"I was a curator before coming to the Henry. When I met Stephanie, she gave me her cell phone number, inviting me to call for advice on being a new director. I used that number many times and feel fortunate to have Stephanie as a cherished colleague and friend."
49,Sunny Speidel,24,Beth Takekawa,Mentor,,
21,Sylvia Wolf,66,Anna Gaskell,Mentorship,Sylvia Wolf,"One of my students (at the Art Institute of Chicago), Anna Gaskell, was a gifted young woman with a distinct vision and keen intelligence. Over 20 years, I marveled at her as she became a stellar artist working in film and photography, whose work has been exhibited and collected by museums worldwide."
21,Sylvia Wolf,12,Kimerly Rorschach,Peer,,
21,Sylvia Wolf,35,Sara Krajewski,Mentorship,Sylvia Wolf,"When it came time for her to step into a leadership position outside the Henry, I shared what I had learned from my mentors. She is now Curator of Modern and Contemporary Art at the Portland Museum of Art, and a colleague I greatly admire and respect."
21,Sylvia Wolf,116,Yukiko Yamagata,Mentorship,Sylvia Wolf,"Yukiko and I worked closely together for three years before she moved on to New York Public Library's Schomburg Center for Research in Black Culture, and then to the Open Society Foundation, where today she is Interim Director of the Documentary Photography Project. Today, Yukiko is bringing important photographic work to the world. I feel honored to know her."
62,Tariqa Waters,67,Aramis Hamer,Mentorship,,
62,Tariqa Waters,67,Aramis Hamer,Mentorship,Aramis Hamer,She just put me in connection with so many different people. But Tariqa she even got me connected with Seattle Art Museum. So I was teaching some live figurative drawings there.
62,Tariqa Waters,70,Devon Midori Hale,Mentorship,,
62,Tariqa Waters,72,Elizabeth Lopez,Mentorship,Barbara Earl Thomas,
115,Valerie Curtis-Newton ,50,Vivian Phillips,Mentorship,Vivian Phillips,She continues to bring me along and allow me to learn from her on a consistent basis. Working with her to establish The Hansberry Project is perhaps one of the best and most rewarding decisions I've made in my career.
92,Vicki Halper,45,Michelle Dunn Marsh,Mentorship,Michelle Dunn Marsh,"She is a pro. I have designed catalogs and brochures for six (and counting!) exhibitions of hers; she is loyal, and a joy to work with by maintaining high standards, creative openness, and respecting good design"
50,Vivian Phillips,67,Aramis Hamer,Mentorship,Aramis Hamer," Aunty Viv, I call her. I love her. She's always pluggin'. I have phone cases on my website and she bought a phone case from me and every time she sees me she's like, 'Oh, I got my phone case' and she's showing everybody. And I'm like 'Thank you, thank you so much.' And she was also behind the Paramount show. "
50,Vivian Phillips,69,Davida Ingram,Mentorship,,
50,Vivian Phillips,75,Jazmyn Scott,Mentorship,,
50,Vivian Phillips,112,Priya Frank,Mentorship,,
50,Vivian Phillips,114,Sharon Nyree Williams,Mentorship,,
50,Vivian Phillips,62,Tariqa Waters,Mentorship,,
22,Thelma Golden,19,Sandra Jackson-Dumont,Mentorship,,
118,Deborah Willis,19,Sandra Jackson-Dumont,Mentorship,,
19,Sandra Jackson-Dumont,54,Rashida Bumbray,Mentor,,
19,Sandra Jackson-Dumont,69,Davida Ingram,Mentor,,
19,Sandra Jackson-Dumont,119,Tasia Endo,Mentor,,
23,Connie Wolf,19,Sandra Jackson-Dumont,Mentorship,,
37,Lowery Stokes Sims,19,Sandra Jackson-Dumont,Mentorship,,
34,Robin Held,90,Susie J. Lee,Mentorship,Susie J. Lee,"Mentor in feminism, grace under pressure, and pushing the boundaries of art definitions and practices, having a strong vision of what something could be. "
121,Jen Graves,90,Susie J. Lee,Mentorship,Susie J. Lee,"Mentor in feminism, conversations on diversity, being fearless in writing about art. ﻿"
122,Lesley Hazleton,90,Susie J. Lee,Mentorship,Susie J. Lee,
90,Susie J. Lee,120,Katrina Hess,Mentor-Peer,Susie J. Lee,"Naturally as someone I've worked with and learned from in business, strategies, and communication. We are work spouses. "
90,Susie J. Lee,94,Lena Takamori,Mentorship,Susie J. Lee,"Akio Takamori's daughter and one of the wisest young souls I know — I've had the pleasure to tutor her since she was 14, she's now in her mid-20s, an artist and someone I've learned much from. "
63,Stacey Winston-Levitan,,Ann Gardner,Collaborator,,
63,Stacey Winston-Levitan,125,Susan Dory,Collaborator,,
63,Stacey Winston-Levitan,,Robin Layton,Collaborator,,
63,Stacey Winston-Levitan,124,Julie Speidel,Collaborator,,
63,Stacey Winston-Levitan,123,Etsuko Ichikawa,Collaborator,Stacey Winston-Levitan,"These are all artists who live and work in Seattle and have made their mark in painting, glass, photography, and sculpture. After 18 years of working in Seattle I have learned so much from these artists in terms of the aesthetic of the northwest, their craftsmanship, and their diversity of materials. Our relationships are mutually beneficial as I am able to position them to have their works in prominent collections and they continue to inspire the direction of the gallery."
126,Mary Boone,63,Stacey Winston-Levitan,Mentor,Stacey Winston-Levitan,Working for Mary Boone in the mid 80's in New York taught me a lot about how to be a good business person and stay organized in the fast paced gallery environment of that time.
1,Anne d'Harnoncourt,16,Mimi Gardner Gates,Mentor,,
127,Susan Brotman,16,Mimi Gardner Gates,Mentor,Mimi Gardner Gates,"In Seattle, among the women I learned a great deal from were Susan Brotman, President of the Seattle Art Museum Board of Trustees who knows how to lead intelligently."
128,Faye Sarkowsky ,16,Mimi Gardner Gates,Mentor,,
129,Patty Stonesifer,16,Mimi Gardner Gates,Mentor,Mimi Gardner Gates,"Former Microsoft executive and first CEO of the  Bill and Melinda Gates Foundation, is a leader par excellence — smart, savvy and extremely capable. Today, she is the head of Martha's Table in Washington DC.  I have been blessed with many fine mentors."
36,Susan Warner,20,Stephanie Stebich,Collaborator,,
36,Susan Warner,130,Kit Evans,Collaborator,,
36,Susan Warner,131,Tina Kuckkahn-Miller,Collaborator,,
26,Josi Callan,36,Susan Warner,Mentor,Susan Warner,"She opened the Museum in 2002 and hired me to be her Director of Education. She was smart, driven and passionate. She put it all together for me and gave me the freedom to design and implement the core Education programs at MOG. She was a risk taker and a great friend."
132,Marie Ferguson,36,Susan Warner,Mentor,Susan Warner,
133,Naomi Vine,36,Susan Warner,Mentor,Susan Warner,"Naomi Vine was Chief Curator when I was a young Decorative Arts Curator at the Dayton Art Institute in Ohio. She was a fabulous mentor particularly
in exhibition development and fund-raising."
134,Manya Drobnack,137,Linda Pawson,Mentor,Linda Pawson,in exhibition development and fund-raising
135,Karen Lorene ,137,Linda Pawson,Mentor,Linda Pawson,As a woman who started and has successfully run her own business in the art world she is a wealth of knowledge and support. When I was considering changing careers she was hugely encouraging to take the chance and do what I really loved.
136,Evelyn Zabo,137,Linda Pawson,Mentor,Linda Pawson," She was a great mentor of both me individually, and other women at the firm. We both helped to establish the first West Coast Women's Networking group for the Accenture High Tech group when we worked at the Seattle office."
137,Linda Pawson,15,Michelle Bufano,Mentor-Peer,,
137,Linda Pawson,138,Bonnie Brandes,Mentor-Peer,,
137,Linda Pawson,139,Tuya von Luehr,Mentor-Peer,Linda Pawson,
32,Elizabeth Brown,140,Erin Weible,Mentor,Erin Weible,
141,Judy Sourakli,140,Erin Weible,Mentor,Erin Weible,
